,Team,Year,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,QB1 Name,QB1 Rating,RB1 Name,RB1 Rating,RB2 Name,RB2 Rating,WR1 Name,WR1 Rating,WR2 Name,WR2 Rating,WR3 Name,WR3 Rating,TE1 Name,TE1 Rating,DE1 Name,DE1 Rating,DE2 Name,DE2 Rating,DT1 Name,DT1 Rating,DT2 Name,DT2 Rating,LB1 Name,LB1 Rating,LB2 Name,LB2 Rating,LB3 Name,LB3 Rating,LB4 Name,LB4 Rating,CB1 Name,CB1 Rating,CB2 Name,CB2 Rating,CB3 Name,CB3 Rating,S1 Name,S1 Rating,S2 Name,S2 Rating
5,Arizona Cardinals,1999.0,6,10,,.375,245,382,-137,-8.6,-0.2,-8.8,-5.5,-3.2,Dave Brown,55.250811688311686,Michael Pittman,42.7,Adrian Murrell,0.0,Rob Moore,148.0,David Boston,64.2,Frank Sanders,47.6,Terry Hardy,1.7000000000000002,Simeon Rice,119.62760604903164,Andre Wadsworth,107.2362195375259,Jerry Drake,77.97152550664191,Eric Swann,71.55235482626277,Rob Fredrickson,127.83470695263044,Ronald McKinnon,116.01752515506568,Zack Walz,63.02748538237304,Patrick Sapp,17.355732958523447,Tom Knight,58.82448802682543,Aeneas Williams,52.77292040951971,Pat Tillman,43.21599251725408,Kwamie Lassiter,114.64850738193246,Tommy Bennett,90.0456325303512
6,Arizona Cardinals,2000.0,3,13,,.188,210,443,-233,-14.6,-0.7,-15.2,-7.2,-8.1,Dave Brown,70.79813311688312,Michael Pittman,65.49088817303267,Thomas Jones,50.77547169811321,David Boston,126.3,Frank Sanders,112.3,MarTay Jenkins,48.0,Terry Hardy,18.7,Simeon Rice,108.27434161641963,Andre Wadsworth,54.84746269312608,Mark Smith,71.395900647581,Russell Davis,69.47034965375306,Rob Fredrickson,123.39125267681092,Ronald McKinnon,116.45152122650376,Zack Walz,94.75443218447762,Raynoch Thompson,41.07671070149439,Aeneas Williams,88.35069833047487,Tom Knight,83.23137907691235,Corey Chavous,72.49427467552545,Pat Tillman,112.80290008240092,Kwamie Lassiter,68.53573011274844
7,Arizona Cardinals,2001.0,7,9,,.438,295,343,-48,-3.0,-1.2,-4.2,-1.5,-2.6,Jake Plummer,89.68620129870129,Thomas Jones,74.30556833870226,Michael Pittman,62.06700414173953,MarTay Jenkins,123.1,David Boston,118.0,Frank Sanders,91.1,,,Kyle Vanden Bosch,96.95492893033,Fred Wakefield,72.82215740057987,Mao Tosi,52.90615160473211,Russell Davis,52.32692427360057,Ronald McKinnon,127.07410968952256,Rob Fredrickson,92.40792839588076,Raynoch Thompson,63.78703817040308,Zack Walz,16.50033987819828,Corey Chavous,111.47821787676348,Adrian Wilson,77.79038956263162,Tom Knight,64.75047534870764,Kwamie Lassiter,156.9599471407023,Pat Tillman,48.16726976253152
8,Arizona Cardinals,2002.0,5,11,0,.313,262,417,-155,-9.7,-0.2,-9.9,-5.4,-4.5,Jake Plummer,68.74228896103897,Marcel Shipp,81.517579383341,Joel Makovicka,78.4,Kevin Kasper,118.9,David Boston,90.1,Jason McAddley,81.6,Steve Bush,26.5,Kyle Vanden Bosch,62.474950750516086,Fred Wakefield,57.42963507739934,Russell Davis,53.652128180245846,Marcus Bell,49.62325605177702,Raynoch Thompson,95.68857558258873,Rob Fredrickson,64.74276905663704,Ronald McKinnon,62.57299779065088,Levar Fisher,21.014411340787643,David Barrett,120.90987064520938,Renaldo Hill,96.44728661813387,Duane Starks,96.1178064320685,Adrian Wilson,129.34765736125158,Kwamie Lassiter,93.60571023350178
9,Arizona Cardinals,2003.0,4,12,,.250,225,452,-227,-14.2,1.6,-12.6,-6.3,-6.2,Josh McCown,73.75340909090909,Marcel Shipp,56.6033594109526,Emmitt Smith,52.232443626323054,Bryan Gilmore,101.8,Anquan Boldin,94.2,Bryant Johnson,59.3,Freddie Jones,46.1,Dennis Johnson,92.65688524554476,Fred Wakefield,75.79912372742271,Russell Davis,68.7250374119348,Barron Tanner,48.14443425370759,Ronald McKinnon,106.43011490375392,Raynoch Thompson,81.04011674760528,Levar Fisher,66.05369084500133,Gerald Hayes,35.73002206144487,Renaldo Hill,136.93306633770243,David Barrett,66.05623215325241,Coby Rhinehart,33.74207261480583,Dexter Jackson,113.0792041981043,Adrian Wilson,55.86401048491632
10,Arizona Cardinals,2004.0,6,10,,.375,284,322,-38,-2.4,-2.5,-4.9,-5.1,0.2,Josh McCown,82.23376623376623,Obafemi Ayanbadejo,106.28610216290842,Troy Hambrick,83.92158306488726,Larry Fitzgerald,122.2,Anquan Boldin,42.1,Bryant Johnson,42.0,Freddie Jones,41.5,Bertrand Berry,145.1488766770752,Calvin Pace,93.21913385998695,Darnell Dockett,96.1042861094552,Russell Davis,85.156496037423,James Darling,135.0390535530582,Karlos Dansby,111.13578318105704,Raynoch Thompson,43.4939527759283,Ronald McKinnon,40.9309050628026,Renaldo Hill,107.81205419127024,David Macklin,100.87315353078768,Duane Starks,100.41265002593514,Adrian Wilson,131.9770298956119,Ifeanyi Ohalete,53.6032422600964
11,Arizona Cardinals,2005.0,5,11,,.313,311,387,-76,-4.8,-0.2,-5.0,-2.0,-3.0,Kurt Warner,95.7252435064935,J.J. Arrington,63.086884491486416,Marcel Shipp,39.41109065807639,Larry Fitzgerald,103.6,Anquan Boldin,89.8,LeRon McCoy,56.8,Adam Bergen,38.6,Bertrand Berry,136.58997030221553,Chike Okeafor,127.57211152553222,Darnell Dockett,73.68301745048728,Ross Kolodziej,69.16754645831135,Karlos Dansby,140.4389026616746,James Darling,102.6515506708358,Orlando Huff,96.58953411170964,Lester Towns,22.37041537485637,Antrel Rolle,121.50811070561474,David Macklin,78.38780079139796,Eric Green,51.28751034855436,Adrian Wilson,112.80290008240092,Robert Griffith,47.26209401292585
12,Arizona Cardinals,2006.0,5,11,,.313,314,389,-75,-4.7,-2.2,-6.9,-2.6,-4.3,Kurt Warner,99.70844155844156,Edgerrin James,65.05379659456972,Obafemi Ayanbadejo,8.3,Bryant Johnson,130.3,Larry Fitzgerald,98.8,Anquan Boldin,85.9,Adam Bergen,35.3,Chike Okeafor,149.5078927022847,Bertrand Berry,125.73114781266187,Darnell Dockett,81.2037182680725,Kendrick Clancy,53.925367871969286,Gerald Hayes,132.57807166134668,Karlos Dansby,104.52942160621332,Orlando Huff,60.84109296561606,Monty Beisel,49.08756133753207,Antrel Rolle,90.53550644873482,David Macklin,59.53576349260091,Eric Green,48.84498249674097,Adrian Wilson,133.36305629374104,Robert Griffith,82.64987609743878
13,Arizona Cardinals,2007.0,8,8,,.500,404,399,5,0.3,-4.3,-3.9,1.9,-5.9,Kurt Warner,101.25032467532466,Edgerrin James,68.91477220432581,J.J. Arrington,26.8,Jerheme Urban,111.3,Larry Fitzgerald,108.5,Anquan Boldin,104.5,Leonard Pope,105.0,Antonio Smith,71.80916697666571,Bertrand Berry,55.40115530325515,Darnell Dockett,122.44378696938615,Gabe Watson,34.671059794404826,Karlos Dansby,151.00578744056506,Calvin Pace,130.69992246455172,Gerald Hayes,93.67752648624544,Darryl Blackstock,30.454654843886637,Roderick Hood,96.98691085721828,Antrel Rolle,85.16505569971966,Eric Green,62.33184015666773,Adrian Wilson,110.12276205332525,Terrence Holt,44.250761140732656
14,Arizona Cardinals,2008.0,9,7,0,.563,427,426,1,0.1,-1.9,-1.9,4.1,-6.0,Kurt Warner,112.42897727272728,J.J. Arrington,93.9746893695352,Tim Hightower,80.5705476300046,Larry Fitzgerald,128.0,Jerheme Urban,109.7,Anquan Boldin,99.9,,,Bertrand Berry,97.87559514716796,Antonio Smith,75.1877724970543,Darnell Dockett,72.87177482923417,Gabe Watson,53.23865521432525,Karlos Dansby,147.82805846290097,Gerald Hayes,108.35337248828952,Chike Okeafor,96.43003383200126,Clark Haggans,32.56674852226712,Dominique Rodgers-Cromartie,81.50813715540944,Roderick Hood,59.24170114069603,Aaron Francisco,38.96420910725988,Adrian Wilson,105.17571377537357,Antrel Rolle,61.1949824945032
